Time_A,Time_B,X,Y,Vx,Vy
0.5,1.5,1329.8287963867188,407.07110595703125,-0.34240723,0.14221191
0.5,1.5,1327.8305053710938,400.07081604003906,-0.33898926,0.14163208
0.5,1.5,1334.8079223632812,382.0839385986328,-0.38415527,0.1678772
0.5,1.5,631.1439819335938,323.1056823730469,0.28796387,0.21136475
0.5,1.5,1336.81787109375,408.07276916503906,-0.3642578,0.14553833
0.5,1.5,1314.8478393554688,369.0865936279297,-0.3043213,0.17318726
0.5,1.5,1168.8956298828125,206.13915252685547,-0.20874023,0.27830505
0.5,1.5,599.1619567871094,376.0696563720703,0.32391357,0.13931274
0.5,1.5,1327.8262329101562,393.0674285888672,-0.34753418,0.13485718
0.5,1.5,1333.8128051757812,387.08233642578125,-0.37438965,0.16467285
0.5,1.5,1347.8128051757812,480.0238800048828,-0.37438965,0.04776001
0.5,1.5,1319.8484497070312,358.09619140625,-0.3031006,0.19238281
0.5,1.5,1337.818603515625,414.0666198730469,-0.36279297,0.13323975
0.5,1.5,1315.8470458984375,347.0958251953125,-0.3059082,0.19165039
0.5,1.5,1307.85498046875,359.08909606933594,-0.29003906,0.17819214
0.5,1.5,1314.8467407226562,359.09283447265625,-0.30651855,0.18566895
0.5,1.5,1330.8282470703125,414.069580078125,-0.34350586,0.13916016
0.5,1.5,1343.8244018554688,407.0750427246094,-0.3511963,0.15008545
0.5,1.5,1352.82861328125,452.02793884277344,-0.34277344,0.055877686
0.5,1.5,1322.8402099609375,380.0908966064453,-0.31958008,0.18179321
0.5,1.5,1350.833740234375,569.9957275390625,-0.33251953,-0.008544922
0.5,1.5,706.1183776855469,838.8648071289062,0.23675537,-0.27038574
0.5,1.5,1349.8265991210938,448.02772521972656,-0.34680176,0.05545044
0.5,1.5,1348.8212890625,496.0168762207031,-0.35742188,0.03375244
0.5,1.5,1330.8143920898438,376.0928955078125,-0.37121582,0.18579102
0.5,1.5,1280.8519897460938,67.227783203125,-0.2960205,0.4555664
0.5,1.5,1345.8328857421875,456.0298309326172,-0.33422852,0.059661865
0.5,1.5,1303.85107421875,352.0871124267578,-0.29785156,0.17422485
0.5,1.5,1340.8283081054688,455.02919006347656,-0.3433838,0.058380127
0.5,1.5,1306.8532104492188,339.09815979003906,-0.2935791,0.19631958
0.5,1.5,1353.7996826171875,482.0213165283203,-0.40063477,0.042633057
0.5,1.5,1336.8115844726562,399.0736389160156,-0.37683105,0.14727783
0.5,1.5,1353.8208618164062,472.02203369140625,-0.35827637,0.044067383
0.5,1.5,1346.8191528320312,400.0716857910156,-0.36169434,0.14337158
0.5,1.5,1316.8396606445312,377.0890808105469,-0.3206787,0.17816162
0.5,1.5,1162.9039916992188,195.14657592773438,-0.1920166,0.29315186
0.5,1.5,1221.8726196289062,249.12561798095703,-0.25476074,0.25123596
0.5,1.5,1346.8359375,525.002197265625,-0.328125,0.0043945312
0.5,1.5,1322.8399047851562,386.07933044433594,-0.32019043,0.15866089
0.5,1.5,1339.8292846679688,446.0275115966797,-0.34143066,0.055023193
0.5,1.5,1303.8455810546875,345.0926513671875,-0.3088379,0.18530273
0.5,1.5,1354.828857421875,406.07212829589844,-0.34228516,0.14425659
0.5,1.5,1219.8779296875,834.868896484375,-0.24414062,-0.26220703
0.5,1.5,1251.8758544921875,277.1280059814453,-0.24829102,0.25601196
0.5,1.5,636.1440734863281,313.11143493652344,0.28814697,0.22286987
0.5,1.5,1358.8336791992188,455.0299072265625,-0.3326416,0.059814453
0.5,1.5,1348.831787109375,502.01222229003906,-0.33642578,0.02444458
0.5,1.5,1300.849609375,327.09266662597656,-0.30078125,0.18533325
0.5,1.5,1312.8470458984375,338.10308837890625,-0.3059082,0.20617676
0.5,1.5,1357.8060302734375,495.024169921875,-0.38793945,0.048339844
0.5,1.5,1338.837890625,439.0345764160156,-0.32421875,0.06915283
0.5,1.5,1338.8350219726562,422.06007385253906,-0.32995605,0.120147705
0.5,1.5,1344.8328247070312,592.9766845703125,-0.3343506,-0.04663086
0.5,1.5,1347.8346557617188,512.0045166015625,-0.33068848,0.009033203
0.5,1.5,1304.8523559570312,331.0948486328125,-0.2952881,0.18969727
0.5,1.5,671.130859375,269.12095642089844,0.26171875,0.24191284
0.5,1.5,1342.8323974609375,418.05360412597656,-0.33520508,0.10720825
